n01614925	A species of eagle, Haliaeetus leucocephalus, native to North America and notable for its white head plumage.
n01614925	Bird of prey found in North America
n01614925	Haliaeetus leucocephalus, a species of eagle native to North America and notable for the white plumage on its head.
n01614925	Species of eagle  native to North America.
n01614925	The bald eagle is a bird of prey found in North America.
n01616318	Any of several carrion-eating birds of the families Accipitridae and Cathartidae.
n01616318	Any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion
n01616318	Vulture is the name given to two groups of convergently evolved, usually scavenging birds of prey: the New World vultures, including the Californian and Andean condors; and the Old World vultures, including the birds that are seen scavenging on carcasses of dead animals on African plains.
n01622779	Alternative name of the great grey owl.
n01622779	Large dish-faced owl of northern North America and western Eurasia
n01622779	Strix nebulosa, a very large owl.
n01622779	The great gray owl or great gray owl is a very large owl, documented as the world's largest species of owl by length.
n01629819	A kind of European salamander
n01630670	Small semiaquatic salamander
n01631663	A newt, especially the European ().
n01631663	A newt in its terrestrial stage of development
n01632458	A species of mole salamander native to North America
n01632458	Glossy black North American salamander with yellow spots
n01632458	The spotted salamander or yellow-spotted salamander is a mole salamander common in the eastern United States and Canada.
n01632777	Amphibian of the salamander tribe.
n01632777	An amphibian of the salamander tribe found in the elevated lakes of Mexico, .
n01632777	An aquatic salamander
n01632777	An aquatic salamander of the family Proteidae.
n01632777	Larval salamander of mountain lakes of Mexico that usually lives without metamorphosing
n01632777	Salamander
n01632777	The axolotl, also known as a Mexican salamander (Ambystoma mexicanum) or a Mexican walking fish, is a neotenic salamander, closely related to the tiger salamander.
n01632777	The family Proteidae is a group of aquatic salamanders found today in the Balkan Peninsula and North America.
n01641577	Any of various large frogs of genus Rana, that have a deep croak and are native to North America.
n01641577	Indigenous to North America. Lithobates catesbeianus
n01641577	Largest North American frog; highly aquatic with a deep-pitched voice
n01641577	The American bullfrog, often simply known as the bullfrog in Canada and the United States, is an aquatic frog, a member of the family Ranidae, or "true frogs".
n01644373	Any of various Old World arboreal frogs distinguished from true frogs by adhesive suckers on the toes
n01644373	Frog of the family Hylidae.
n01644373	Frog of the family Hylidae, of small size and more elegant in form than the true frogs (family Ranidae), often with a bright coloration.
n01644900	A member of one of two species of frogs in the genus, having distinctive tails.
n01644900	The tailed frogs are two species of frogs in the genus Ascaphus, the only taxon in the family Ascaphidae.
n01644900	Western North American frog with a taillike copulatory organ
n01664065	A large, carnivorous, marine turtle, , found in warm seas
n01664065	The loggerhead sea turtle, or loggerhead, is an oceanic turtle distributed throughout the world.
n01664065	The loggerhead turtle
n01664065	The sea turtle Caretta caretta
n01664065	Very large carnivorous sea turtle; wide-ranging in warm open seas
n01665541	A large sea turtle, Dermochelys coriacea, with a leathery back.
n01665541	The leatherback sea turtle, sometimes called the lute turtle, is the largest of all living turtles and is the fourth-heaviest modern reptile behind three crocodilians.
n01665541	Wide-ranging marine turtle with flexible leathery carapace; largest living turtle
n01667114	Bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America
n01667114	Kinosternon is a genus of aquatic turtles known commonly as mud turtles.
n01667778	Any of several North American turtles, of the family Emydidae, that live in fresh or brackish water.
n01667778	Any of various edible North American web-footed turtles living in fresh or brackish water
n01667778	North American turtle.
n01667778	Terrapin is a term used in English for several smaller species of turtle living in fresh or brackish water.
n01669191	A turtle of the genus (the North American box turtles), or of or (the Asian box turtles), characterised by having a domed shell that is hinged at the bottom, allowing the animal to close its shell tightly to escape predators.
n01669191	Box turtles are turtles of the genus Terrapene native to North America.
n01669191	Chiefly terrestrial turtle of North America; shell can be closed tightly
n01675722	Any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids; of United States southwest and Florida Gulf Coast
n01677366	Any of several members of the lizard family .
n01677366	Any of several members of the lizard family Iguanidae.
n01677366	Iguana is a genus of herbivorous lizards native to tropical areas of Mexico, Central America, several islands in Polynesia such as Fiji and Tonga, and the Caribbean.
n01677366	Large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America
n01677366	The green iguana or common iguana is a large, arboreal, mostly herbivorous species of lizard of the genus Iguana native to Central, South America, and the Caribbean.
n01677366	The species popular as pets
n01682714	An arboreal lizard, , native to the southeastern United States
n01682714	Any of the genus of arboreal American lizards (such as the ) from the iguana family which feature a brightly colored dewlap and color-changing ability.
n01682714	Small arboreal tropical American insectivorous lizards with the ability to change skin color
n01682714	The Carolina anole is an arboreal lizard found primarily in the southeastern United States and some Caribbean islands.
n01682714	The Dactyloidae are a family of lizards commonly known as anoles.
n01685808	Any of many New World lizards, of the genus , that have long, slender tails.
n01685808	Any of numerous very agile and alert New World lizards
n01687978	An agama is any one of the various small, long-tailed, insect-eating lizards of the genus Agama.
n01687978	Any of the various small, long-tailed lizards of the subfamily , especially in genera , Agama, , , , and .
n01687978	Lizard of the subfamily Agaminae.
n01687978	Small terrestrial lizard of warm regions of the Old World
n01688243	Large arboreal insectivorous Australian lizard with a ruff of skin around the neck
n01688243	The frilled-neck lizard, also known as the frilled lizard or frilled dragon, is a type of lizard that is found mainly in northern Australia and southern New Guinea.
n01689811	Slim short-limbed lizard having a distinctive fold on each side that permits expansion; of western North America
n01692333	A venomous lizard
n01692333	A venomous lizard, Heloderma suspectum, that lives in the deserts of the southwestern USA and northwestern Mexico
n01692333	Large orange and black lizard of southwestern United States; not dangerous unless molested
n01692333	The Gila monster is a species of venomous lizard native to the southwestern United States and northwestern Mexican state of Sonora.
n01692333	Venomous lizard from southwestern United States and northwestern Mexico
n01693334	A common Eurasian lizard about a foot long
n01693334	The European Green Lizard is a large lizard distributed across European midlatitudes from Slovenia and eastern Austria to as far east as the Black Sea coasts of Ukraine and Turkey.
n01694178	A chameleon found in Africa
n01694178	The African chameleon or Sahel chameleon is a species of chameleon native to the Sahel and Nile Valley, although it has been introduced to Greece.
n01695060	A large species of lizard found in the Indonesian islands of Komodo
n01695060	Large monitor lizard.
n01695060	Large species of lizard found in Indonesia
n01695060	The Komodo dragon, also known as the Komodo monitor, is a large species of lizard found in the Indonesian islands of Komodo, Rinca, Flores, Gili Motang, and Padar.
n01695060	The largest lizard in the world (10 feet); found on Indonesian islands
n01695060	Varanus komodoensis, an endangered species of monitor lizard native to certain Indonesian islands east of Java, the world's largest lizard, growing to 10 feet or 3 meters, known for its ability to kill prey with its septic saliva.
n01697457	A dangerous crocodile widely distributed in Africa
n01697457	A large fierce carnivorous semi-aquatic African crocodile.
n01697457	The Nile crocodile is an African crocodile and the second largest extant reptile in the world, after the saltwater crocodile.
n01698640	Large alligator of the southeastern United States
n01698640	The American alligator, sometimes referred to colloquially as a gator or common alligator, is a large crocodilian reptile endemic to the southeastern United States.
n01704323	Common name of the extinct genus Triceratops; a herbivorous ceratopsid from the late Cretaceous.
n01704323	Genus of herbivorous ceratopsid dinosaur
n01704323	Huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill
n01704323	Triceratops is a genus of herbivorous ceratopsid dinosaur that first appeared during the late Maastrichtian stage of the late Cretaceous period, about 68 million years ago in what is now North America.
n01728572	Carphophis amoenus, commonly known as the worm snake, is a species of nonvenomous colubrid endemic to the Eastern United States.
n01728572	Small reddish wormlike snake of eastern United States
n01728572	Thunder snake may refer to.
n01728572	Wikipedia disambiguation page
n01728920	Any of numerous small nonvenomous North American snakes with a yellow or orange ring around the neck
n01728920	A snake found in North America.
n01728920	Ring-necked snake
n01728920	The ring-necked snake or ringneck snake, Diadophis punctatus, is a species of colubrid snake found throughout much of the United States, central Mexico, and southeastern Canada.
n01729322	A colubrid snake, from any of three genera, characterized by an upturned snout and notorious for playing dead when threatened.
n01729322	Harmless North American snake with upturned nose; may spread its head and neck or play dead when disturbed
n01729322	Sand viper may refer to.
n01729322	The term hognose snake is used to describe several snakes characterized by an upturned snout.
n01729977	Either of two North American chiefly insectivorous snakes that are green in color
n01734418	Any of numerous nonvenomous North American constrictors; feed on other snakes and small mammals
n01734418	Any of various colubrid snakes of the genus Lampropeltis.
n01734418	Kingsnakes are colubrid snakes, members of the genus Lampropeltis, which also includes the milk snake, four other species, and 45 subspecies.
n01735189	Any of numerous nonvenomous longitudinally-striped viviparous North American and Central American snakes
n01735189	Any of various nonvenomous snakes of the genus , native to America, with longitudinal stripes.
n01735189	Garter snake is the common name given to harmless, small - to medium-sized snakes belonging to the genus Thamnophis.
n01735189	Snake of the genus Thamnopsis.
n01737021	Any of various mostly harmless snakes that live in or near water
n01739381	Slender arboreal snake found from southern Arizona to Bolivia
n01740131	Hypsiglena torquata, commonly known as the night snake, is a species of rear-fanged colubrid.
n01740131	Nocturnal prowler of western United States and Mexico
n01742172	A large South American constricting snake. This is both its scientific and common name.
n01742172	A large tropical American snake, Boa constrictor, that kills its prey by squeezing them
n01742172	The Boa constrictor is a species of large, heavy-bodied snake.
n01742172	Very large boa of tropical America and West Indies
n01744401	Python sebae, commonly known as the African rock python, is a large, nonvenomous snake of Sub-Saharan Africa.
n01744401	Very large python of tropical and southern Africa
n01748264	A cobra of tropical Africa and Asia
n01748264	Indian cobra also known as the Spectacled cobra, Asian cobra or Binocellate cobra is a species of the genus Naja found in the Indian subcontinent and a member of the "big four", the four species which inflict the most snakebites on humans in India.
n01749939	Green phase of the black mamba
n01751748	Any of numerous venomous aquatic viviparous snakes having a fin-like tail; of warm littoral seas; feed on fish which they immobilize with quick-acting venom
n01751748	The Hydrophiinae, also known as coral reef snakes or sea snakes, are a subfamily of venomous elapid snakes that inhabit marine environments for most or all of their lives.
n01753488	A.k.a. the desert horned viper, a venomous viper species native to the deserts of Northern Africa and parts of the Middle East
n01753488	Cerastes cerastes is a venomous viper species native to the deserts of Northern Africa and parts of the Middle East.
n01753488	Cerastes is a genus of small, venomous vipers found in the deserts and semi-deserts of northern North Africa eastward through Arabia and Iran.
n01753488	Highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
n01753488	Horned viper may refer to.
n01753488	Wikipedia disambiguation page
n01755581	A U.S. Navy missile concept of the 1950s
n01755581	Diamondback rattlesnake may refer to.
n01755581	Diamondback was a proposed nuclear-armed air-to-air missile studied by the United States Navy's Naval Ordnance Test Station during the 1950s.
n01755581	Large deadly rattlesnake with diamond-shaped markings
n01755581	Wikipedia disambiguation page
n01756291	A venomous pit-viper species found in the southwestern United States
n01756291	Crotalus cerastes is a venomous pit viper species belonging to the genus Crotalus and found in the desert regions of the southwestern United States and northwestern Mexico.
n01756291	Small pale-colored desert rattlesnake of southwestern United States; body moves in an s-shaped curve
n01768244	An extinct arthropod of the class Trilobita, whose body had three large lobes.
n01768244	An extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts
n01768244	Extinct class of arthropods
n01768244	Member of the class Trilobita.
n01768244	Trilobites are a well-known fossil group of extinct marine arthropods that form the class Trilobita.
n01770081	An order of arachnids also commonly known as harvestmen
n01770081	An order of terrestrial, non-venomous arachnids with often very long legs: Opiliones.
n01770081	Any (non-spider) arachnid of the order Opiliones, mostly with long thin legs; the harvestman.
n01770081	Opiliones is an order of arachnids commonly known as harvestmen.
n01770081	Order of arachnids
n01770081	Spiderlike arachnid with a small rounded body and very long thin legs
n01770393	An animal of the order Scorpiones within the class Arachnida
n01770393	Any of various arachnids of the order Scorpiones.
n01770393	Any of various arachnids of the order Scorpiones, related to the spiders, characterised by two large front pincers and a curved tail with a poisonous sting in the end.
n01770393	Arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
n01770393	Order of arachnids
n01770393	Scorpions are predatory arthropod animals of the order Scorpiones within the class Arachnida.
n01773157	A North American garden spider
n01773157	A widely distributed North American garden spider
n01773157	The Black and Yellow Garden Spider
n01773157	The spider species Argiope aurantia is commonly known as the yellow garden spider, black and yellow garden spider, golden garden spider, writing spider, or corn spider.
n01773549	An orange and tan spider with darkly banded legs that spins an orb web daily
n01773549	Araneus cavaticus, commonly known as the barn spider, is a common orb-weaver spider native to North America.
n01773797	A common arachnid, .
n01773797	A spider common in European gardens
n01774384	Latrodectus mactans, or Southern black widow or simply black widow, is a highly venomous species of spider in the genus Latrodectus.
n01774384	The Southern black widow
n01774384	Venomous New World spider; the female is black with an hourglass-shaped red mark on the underside of the abdomen
n01774750	A species of wolf spider, .
n01774750	Large hairy tropical spider with fangs that can inflict painful but not highly venomous bites
n01775062	Any of several spiders of the family Lycosidae.
n01775062	Any of several spiders, of the family Lycosidae, that are known for stalking their prey on the ground and not building webs.
n01775062	A spider that hunts its prey on the ground instead of catching it in a web
n01775062	Family of spider
n01775062	Ground spider that hunts its prey instead of using a web
n01775062	Wolf spiders are members of the family Lycosidae, from the Ancient Greek word"" meaning "wolf".
